target_x,target_y,target_z,encoder_x,encoder_y,measured_x,measured_y,time,normalized_x,normalized_y,error_x,error_y,label,error_x_mag,error_y_mag
0,0,=(B2/C$24)*(B$24-B$23)+B$23,0,0,7.75,10,3.5,=F2-F$2,=G2-G$2,=I2-A2,=J2-B2,START,=ABS(K2),=ABS(L2)
459,194,=(B3/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,204.5,6.0,=F3-F$2,=G3-G$2,=I3-A3,=J3-B3,STERILIZER,=ABS(K3),=ABS(L3)
33,43,=(B4/C$24)*(B$24-B$23)+B$23,33.02,43.02,40.5,52.25,5.6,=F4-F$2,=G4-G$2,=I4-A4,=J4-B4,DISH 1,=ABS(K4),=ABS(L4)
40,100,=(B5/C$24)*(B$24-B$23)+B$23,40.01,100,47.5,109.75,3.3,=F5-F$2,=G5-G$2,=I5-A5,=J5-B5,WELL 1,=ABS(K5),=ABS(L5)
459,194,=(B6/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,204.5,5.8,=F6-F$2,=G6-G$2,=I6-A6,=J6-B6,STERILIZER,=ABS(K6),=ABS(L6)
140,60,=(B7/C$24)*(B$24-B$23)+B$23,140.02,59.98,147.75,69.75,5.1,=F7-F$2,=G7-G$2,=I7-A7,=J7-B7,DISH 2,=ABS(K7),=ABS(L7)
347,60,=(B8/C$24)*(B$24-B$23)+B$23,347.03,59.98,355,70,4.2,=F8-F$2,=G8-G$2,=I8-A8,=J8-B8,WELL 2,=ABS(K8),=ABS(L8)
459,194,=(B9/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,204.5,4.8,=F9-F$2,=G9-G$2,=I9-A9,=J9-B9,STERILIZER,=ABS(K9),=ABS(L9)
250,60,=(B10/C$24)*(B$24-B$23)+B$23,250,59.98,258.5,70,4.7,=F10-F$2,=G10-G$2,=I10-A10,=J10-B10,DISH 3,=ABS(K10),=ABS(L10)
450,165,=(B11/C$24)*(B$24-B$23)+B$23,449.98,165.01,458.25,175.25,4.2,=F11-F$2,=G11-G$2,=I11-A11,=J11-B11,WELL 3,=ABS(K11),=ABS(L11)
459,194,=(B12/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,204.5,2.7,=F12-F$2,=G12-G$2,=I12-A12,=J12-B12,STERILIZER,=ABS(K12),=ABS(L12)
133,186,=(B13/C$24)*(B$24-B$23)+B$23,132.98,185.99,140.25,195.75,5.1,=F13-F$2,=G13-G$2,=I13-A13,=J13-B13,DISH 4,=ABS(K13),=ABS(L13)
347,60,=(B14/C$24)*(B$24-B$23)+B$23,347.03,59.98,355,70,4.5,=F14-F$2,=G14-G$2,=I14-A14,=J14-B14,WELL 4,=ABS(K14),=ABS(L14)
459,194,=(B15/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,204.5,4.6,=F15-F$2,=G15-G$2,=I15-A15,=J15-B15,STERILIZER,=ABS(K15),=ABS(L15)
240,186,=(B16/C$24)*(B$24-B$23)+B$23,239.98,185.99,247.75,196,4.5,=F16-F$2,=G16-G$2,=I16-A16,=J16-B16,DISH 5,=ABS(K16),=ABS(L16)
40,100,=(B17/C$24)*(B$24-B$23)+B$23,40.01,100,47.5,109.75,4.2,=F17-F$2,=G17-G$2,=I17-A17,=J17-B17,WELL 5,=ABS(K17),=ABS(L17)
459,194,=(B18/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,194.5,5.9,=F18-F$2,=G18-G$2,=I18-A18,=J18-B18,STERILIZER,=ABS(K18),=ABS(L18)
347,186,=(B19/C$24)*(B$24-B$23)+B$23,347.03,87,355.25,196,3.3,=F19-F$2,=G19-G$2,=I19-A19,=J19-B19,DISH 6,=ABS(K19),=ABS(L19)
450,165,=(B20/C$24)*(B$24-B$23)+B$23,449.98,165.01,458.25,175.25,3.3,=F20-F$2,=G20-G$2,=I20-A20,=J20-B20,WELL 6,=ABS(K20),=ABS(L20)
459,194,=(B21/C$24)*(B$24-B$23)+B$23,459.01,193.99,467.5,204.5,3,=F21-F$2,=G21-G$2,=I21-A21,=J21-B21,STERILIZER,=ABS(K21),=ABS(L21)
,,,,,,,,,,,,,,
LOW_Z,80,0,,,,,,,,,,,,
HIGH_Z,88,225,,,,,,,,,,,,
